verb,meaning,isRegular,gerund,past_participle,tense_id,yo_s,yo_e,tu_s,tu_e,el_s,el_e,nos_s,nos_e,vos_s,vos_e,ellos_s,ellos_e
saber,알다,false,sabiendo,sabido,subj_imp,supier,a,supier,as,supier,a,supier,amos,supier,ais,supier,an
querer,원하다,false,queriendo,querido,pres,quier,o,quier,es,quier,e,quer,emos,quer,éis,quier,en
querer,원하다,false,queriendo,querido,perf,he ,querido,has ,querido,ha ,querido,hemos ,querido,habéis ,querido,han ,querido
querer,원하다,false,queriendo,querido,indef,quis,e,quis,iste,quis,o,quis,imos,quis,isteis,quis,ieron
querer,원하다,false,queriendo,querido,imperf,quer,ía,quer,ías,quer,ía,quer,íamos,quer,íais,quer,ían
querer,원하다,false,queriendo,querido,fut,querr,é,querr,ás,querr,á,querr,emos,querr,éis,querr,án
querer,원하다,false,queriendo,querido,cond,querr,ía,querr,ías,querr,ía,querr,íamos,querr,íais,querr,ían
querer,원하다,false,queriendo,querido,subj_pres,quier,a,quier,as,quier,a,quier,amos,quier,áis,quier,an
querer,원하다,false,queriendo,querido,subj_imp,quisier,a,quisier,as,quisier,a,quisier,amos,quisier,ais,quisier,an
venir,오다,false,viniendo,venido,pres,veng,o,vien,es,vien,e,ven,imos,ven,ís,vien,en
venir,오다,false,viniendo,venido,perf,he ,venido,has ,venido,ha ,venido,hemos ,venido,habéis ,venido,han ,venido
venir,오다,false,viniendo,venido,indef,vin,e,vin,iste,vin,o,vin,imos,vin,isteis,vin,ieron
venir,오다,false,viniendo,venido,imperf,ven,ía,ven,ías,ven,ía,ven,íamos,ven,íais,ven,ían
venir,오다,false,viniendo,venido,fut,vendr,é,vendr,ás,vendr,á,vendr,emos,vendr,éis,vendr,án
venir,오다,false,viniendo,venido,cond,vendr,ía,vendr,ías,vendr,ía,vendr,íamos,vendr,íais,vendr,ían
venir,오다,false,viniendo,venido,subj_pres,veng,a,veng,as,veng,a,veng,amos,veng,áis,veng,an
venir,오다,false,viniendo,venido,subj_imp,vinier,a,vinier,as,vinier,a,vinier,amos,vinier,ais,vinier,an
poner,놓다,false,poniendo,puesto,pres,pon,go,pon,es,pon,e,pon,emos,pon,éis,pon,en
poner,놓다,false,poniendo,puesto,perf,he ,puesto,has ,puesto,ha ,puesto,hemos ,puesto,habéis ,puesto,han ,puesto
poner,놓다,false,poniendo,puesto,indef,pus,e,pus,iste,pus,o,pus,imos,pus,isteis,pus,ieron
poner,놓다,false,poniendo,puesto,imperf,pon,ía,pon,ías,pon,ía,pon,íamos,pon,íais,pon,ían
poner,놓다,false,poniendo,puesto,fut,pondr,é,pondr,ás,pondr,á,pondr,emos,pondr,éis,pondr,án
poner,놓다,false,poniendo,puesto,cond,pondr,ía,pondr,ías,pondr,ía,pondr,íamos,pondr,íais,pondr,ían
poner,놓다,false,poniendo,puesto,subj_pres,pong,a,pong,as,pong,a,pong,amos,pong,áis,pong,an
poner,놓다,false,poniendo,puesto,subj_imp,pusier,a,pusier,as,pusier,a,pusier,amos,pusier,ais,pusier,an
salir,나가다,false,saliendo,salido,pres,sal,go,sal,es,sal,e,sal,imos,sal,ís,sal,en
salir,나가다,false,saliendo,salido,perf,he ,salido,has ,salido,ha ,salido,hemos ,salido,habéis ,salido,han ,salido
salir,나가다,false,saliendo,salido,indef,sal,í,sal,iste,sal,ió,sal,imos,sal,isteis,sal,ieron
salir,나가다,false,saliendo,salido,imperf,sal,ía,sal,ías,sal,ía,sal,íamos,sal,íais,sal,ían
salir,나가다,false,saliendo,salido,fut,saldr,é,saldr,ás,saldr,á,saldr,emos,saldr,éis,saldr,án
salir,나가다,false,saliendo,salido,cond,saldr,ía,saldr,ías,saldr,ía,saldr,íamos,saldr,íais,saldr,ían
salir,나가다,false,saliendo,salido,subj_pres,salg,a,salg,as,salg,a,salg,amos,salg,áis,salg,an
salir,나가다,false,saliendo,salido,subj_imp,salier,a,salier,as,salier,a,salier,amos,salier,ais,salier,an
ver,보다,false,viendo,visto,pres,ve,o,v,es,v,e,v,emos,v,éis,v,en
ver,보다,false,viendo,visto,perf,he ,visto,has ,visto,ha ,visto,hemos ,visto,habéis ,visto,han ,visto
ver,보다,false,viendo,visto,indef,v,i,v,iste,vi,o,v,imos,v,isteis,v,ieron
ver,보다,false,viendo,visto,imperf,ve,ía,ve,ías,ve,ía,ve,íamos,ve,íais,ve,ían
ver,보다,false,viendo,visto,fut,ver,é,ver,ás,ver,á,ver,emos,ver,éis,ver,án
ver,보다,false,viendo,visto,cond,ver,ía,ver,ías,ver,ía,ver,íamos,ver,íais,ver,ían
ver,보다,false,viendo,visto,subj_pres,ve,a,ve,as,ve,a,ve,amos,ve,áis,ve,an
ver,보다,false,viendo,visto,subj_imp,vier,a,vier,as,vier,a,vier,amos,vier,ais,vier,an
dar,주다,false,dando,dado,pres,d,oy,d,as,d,a,d,amos,d,áis,d,an
dar,주다,false,dando,dado,perf,he ,dado,has ,dado,ha ,dado,hemos ,dado,habéis ,dado,han ,dado
dar,주다,false,dando,dado,indef,d,i,d,iste,di,o,d,imos,d,isteis,di,eron
dar,주다,false,dando,dado,imperf,dab,a,dab,as,dab,a,dáb,amos,dab,ais,dab,an
dar,주다,false,dando,dado,fut,dar,é,dar,ás,dar,á,dar,emos,dar,éis,dar,án
dar,주다,false,dando,dado,cond,dar,ía,dar,ías,dar,ía,dar,íamos,dar,íais,dar,ían
dar,주다,false,dando,dado,subj_pres,d,é,d,es,d,é,d,emos,d,eis,d,en
dar,주다,false,dando,dado,subj_imp,dier,a,dier,as,dier,a,dier,amos,dier,ais,dier,an
oír,듣다,false,oyendo,oido,pres,oy,o,oy,es,oy,e,o,ímos,o,ís,oy,en
oír,듣다,false,oyendo,oido,perf,he ,oído,has ,oído,ha ,oído,hemos ,oído,habéis ,oído,han ,oído
oír,듣다,false,oyendo,oido,indef,o,í,o,iste,oy,ó,o,ímos,o,ísteis,oy,eron
oír,듣다,false,oyendo,oido,imperf,o,ía,o,ías,o,ía,o,íamos,o,íais,o,ían
oír,듣다,false,oyendo,oido,fut,oir,é,oir,ás,oir,á,oir,emos,oir,éis,oir,án
oír,듣다,false,oyendo,oido,cond,oir,ía,oir,ías,oir,ía,oir,íamos,oir,íais,oir,ían
oír,듣다,false,oyendo,oido,subj_pres,oy,a,oy,as,oy,a,oy,amos,oy,áis,oy,an
oír,듣다,false,oyendo,oido,subj_imp,oyer,a,oyer,as,oyer,a,oyer,amos,oyer,ais,oyer,an
traer,가져오다,false,trayendo,traido,pres,tra,igo,tra,es,tra,e,tra,emos,tra,éis,tra,en
traer,가져오다,false,trayendo,traido,perf,he ,traído,has ,traído,ha ,traído,hemos ,traído,habéis ,traído,han ,traído
traer,가져오다,false,trayendo,traido,indef,traj,e,traj,iste,traj,o,traj,imos,traj,isteis,traj,eron
traer,가져오다,false,trayendo,traido,imperf,tra,ía,tra,ías,tra,ía,tra,íamos,tra,íais,tra,ían
traer,가져오다,false,trayendo,traido,fut,traer,é,traer,ás,traer,á,traer,emos,traer,éis,traer,án
traer,가져오다,false,trayendo,traido,cond,traer,ía,traer,ías,traer,ía,traer,íamos,traer,íais,traer,ían
traer,가져오다,false,trayendo,traido,subj_pres,traig,a,traig,as,traig,a,traig,amos,traig,áis,traig,an
traer,가져오다,false,trayendo,traido,subj_imp,trajer,a,trajer,as,trajer,a,trajer,amos,trajer,ais,trajer,an
conocer,알다,false,conociendo,conocido,pres,conoz,co,conoc,es,conoc,e,conoc,emos,conoc,éis,conoc,en
conocer,알다,false,conociendo,conocido,perf,he ,conocido,has ,conocido,ha ,conocido,hemos ,conocido,habéis ,conocido,han ,conocido
conocer,알다,false,conociendo,conocido,indef,conoc,í,conoc,iste,conoc,ió,conoc,imos,conoc,isteis,conoc,ieron
conocer,알다,false,conociendo,conocido,imperf,conoc,ía,conoc,ías,conoc,ía,conoc,íamos,conoc,íais,conoc,ían
conocer,알다,false,conociendo,conocido,fut,conocer,é,conocer,ás,conocer,á,conocer,emos,conocer,éis,conocer,án
conocer,알다,false,conociendo,conocido,cond,conocer,ía,conocer,ías,conocer,ía,conocer,íamos,conocer,íais,conocer,ían
conocer,알다,false,conociendo,conocido,subj_pres,conozc,a,conozc,as,conozc,a,conozc,amos,conozc,áis,conozc,an
conocer,알다,false,conociendo,conocido,subj_imp,conocier,a,conocier,as,conocier,a,conocier,amos,conocier,ais,conocier,an
creer,믿다,false,creyendo,creido,pres,cre,o,cre,es,cre,e,cre,emos,cre,éis,cre,en
creer,믿다,false,creyendo,creido,perf,he ,creído,has ,creído,ha ,creído,hemos ,creído,habéis ,creído,han ,creído
creer,믿다,false,creyendo,creido,indef,cre,í,cre,iste,crey,ó,cre,ímos,cre,ísteis,crey,eron
creer,믿다,false,creyendo,creido,imperf,cre,ía,cre,ías,cre,ía,cre,íamos,cre,íais,cre,ían
creer,믿다,false,creyendo,creido,fut,creer,é,creer,ás,creer,á,creer,emos,creer,éis,creer,án
creer,믿다,false,creyendo,creido,cond,creer,ía,creer,ías,creer,ía,creer,íamos,creer,íais,creer,ían
creer,믿다,false,creyendo,creido,subj_pres,cre,a,cre,as,cre,a,cre,amos,cre,áis,cre,an
creer,믿다,false,creyendo,creido,subj_imp,creyer,a,creyer,as,creyer,a,creyer,amos,creyer,ais,creyer,an
caer,떨어지다,false,cayendo,caido,pres,ca,igo,ca,es,ca,e,ca,emos,ca,éis,ca,en
caer,떨어지다,false,cayendo,caido,perf,he ,caído,has ,caído,ha ,caído,hemos ,caído,habéis ,caído,han ,caído
caer,떨어지다,false,cayendo,caido,indef,ca,í,ca,iste,cay,ó,ca,ímos,ca,ísteis,cay,eron
caer,떨어지다,false,cayendo,caido,imperf,ca,ía,ca,ías,ca,ía,ca,íamos,ca,íais,ca,ían
caer,떨어지다,false,cayendo,caido,fut,caer,é,caer,ás,caer,á,caer,emos,caer,éis,caer,án
caer,떨어지다,false,cayendo,caido,cond,caer,ía,caer,ías,caer,ía,caer,íamos,caer,íais,caer,ían
caer,떨어지다,false,cayendo,caido,subj_pres,caig,a,caig,as,caig,a,caig,amos,caig,áis,caig,an
caer,떨어지다,false,cayendo,caido,subj_imp,cayer,a,cayer,as,cayer,a,cayer,amos,cayer,ais,cayer,an
dormir,자다,false,durmiendo,dormido,pres,duerm,o,duerm,es,duerm,e,dorm,imos,dorm,ís,duerm,en
dormir,자다,false,durmiendo,dormido,perf,he ,dormido,has ,dormido,ha ,dormido,hemos ,dormido,habéis ,dormido,han ,dormido
dormir,자다,false,durmiendo,dormido,indef,dorm,í,dorm,iste,durm,ió,dorm,imos,dorm,isteis,durm,ieron
dormir,자다,false,durmiendo,dormido,imperf,dorm,ía,dorm,ías,dorm,ía,dorm,íamos,dorm,íais,dorm,ían
dormir,자다,false,durmiendo,dormido,fut,dormir,é,dormir,ás,dormir,á,dormir,emos,dormir,éis,dormir,án
dormir,자다,false,durmiendo,dormido,cond,dormir,ía,dormir,ías,dormir,ía,dormir,íamos,dormir,íais,dormir,ían
dormir,자다,false,durmiendo,dormido,subj_pres,duerm,a,duerm,as,duerm,a,durm,amos,durm,áis,duerm,an
dormir,자다,false,durmiendo,dormido,subj_imp,durmier,a,durmier,as,durmier,a,durmier,amos,durmier,ais,durmier,an
pedir,요청하다,false,pidiendo,pedido,pres,pid,o,pid,es,pid,e,ped,imos,ped,ís,pid,en
pedir,요청하다,false,pidiendo,pedido,perf,he ,pedido,has ,pedido,ha ,pedido,hemos ,pedido,habéis ,pedido,han ,pedido
pedir,요청하다,false,pidiendo,pedido,indef,ped,í,ped,iste,pid,ió,ped,imos,ped,isteis,pid,ieron
pedir,요청하다,false,pidiendo,pedido,imperf,ped,ía,ped,ías,ped,ía,ped,íamos,ped,íais,ped,ían
pedir,요청하다,false,pidiendo,pedido,fut,pedir,é,pedir,ás,pedir,á,pedir,emos,pedir,éis,pedir,án
pedir,요청하다,false,pidiendo,pedido,cond,pedir,ía,pedir,ías,pedir,ía,pedir,íamos,pedir,íais,pedir,ían
pedir,요청하다,false,pidiendo,pedido,subj_pres,pid,a,pid,as,pid,a,pid,amos,pid,áis,pid,an
pedir,요청하다,false,pidiendo,pedido,subj_imp,pidier,a,pidier,as,pidier,a,pidier,amos,pidier,ais,pidier,an
empezar,시작하다,false,empezando,empezado,pres,empiez,o,empiez,as,empiez,a,empez,amos,empez,áis,empiez,an
empezar,시작하다,false,empezando,empezado,perf,he ,empezado,has ,empezado,ha ,empezado,hemos ,empezado,habéis ,empezado,han ,empezado
empezar,시작하다,false,empezando,empezado,indef,empec,é,empez,aste,empez,ó,empez,amos,empez,asteis,empez,aron
empezar,시작하다,false,empezando,empezado,imperf,empez,aba,empez,abas,empez,aba,empez,ábamos,empez,abais,empez,aban
empezar,시작하다,false,empezando,empezado,fut,empezar,é,empezar,ás,empezar,á,empezar,emos,empezar,éis,empezar,án
empezar,시작하다,false,empezando,empezado,cond,empezar,ía,empezar,ías,empezar,ía,empezar,íamos,empezar,íais,empezar,ían
empezar,시작하다,false,empezando,empezado,subj_pres,empiec,e,empiec,es,empiec,e,empec,emos,empec,éis,empiec,en
empezar,시작하다,false,empezando,empezado,subj_imp,empezar,a,empezar,as,empezar,a,empezar,amos,empezar,ais,empezar,an
leer,읽다,false,leyendo,leido,pres,le,o,le,es,le,e,le,emos,le,éis,le,en
leer,읽다,false,leyendo,leido,perf,he ,leído,has ,leído,ha ,leído,hemos ,leído,habéis ,leído,han ,leído
leer,읽다,false,leyendo,leido,indef,le,í,le,iste,ley,ó,le,ímos,le,ísteis,ley,eron
leer,읽다,false,leyendo,leido,imperf,le,ía,le,ías,le,ía,le,íamos,le,íais,le,ían
leer,읽다,false,leyendo,leido,fut,leer,é,leer,ás,leer,á,leer,emos,leer,éis,leer,án
leer,읽다,false,leyendo,leido,cond,leer,ía,leer,ías,leer,ía,leer,íamos,leer,íais,leer,ían
leer,읽다,false,leyendo,leido,subj_pres,le,a,le,as,le,a,le,amos,le,áis,le,an
leer,읽다,false,leyendo,leido,subj_imp,leyer,a,leyer,as,leyer,a,leyer,amos,leyer,ais,leyer,an
conducir,운전하다,false,conduciendo,conducido,pres,conduz,co,conduc,es,conduc,e,conduc,emos,conduc,éis,conduc,en
conducir,운전하다,false,conduciendo,conducido,perf,he ,conducido,has ,conducido,ha ,conducido,hemos ,conducido,habéis ,conducido,han ,conducido
conducir,운전하다,false,conduciendo,conducido,indef,conduj,e,conduj,iste,conduj,o,conduj,imos,conduj,isteis,conduj,eron
conducir,운전하다,false,conduciendo,conducido,imperf,conduc,ía,conduc,ías,conduc,ía,conduc,íamos,conduc,íais,conduc,ían
conducir,운전하다,false,conduciendo,conducido,fut,conducir,é,conducir,ás,conducir,á,conducir,emos,conducir,éis,conducir,án
conducir,운전하다,false,conduciendo,conducido,cond,conducir,ía,conducir,ías,conducir,ía,conducir,íamos,conducir,íais,conducir,ían
conducir,운전하다,false,conduciendo,conducido,subj_pres,conduzc,a,conduzc,as,conduzc,a,conduzc,amos,conduzc,áis,conduzc,an
conducir,운전하다,false,conduciendo,conducido,subj_imp,condujer,a,condujer,as,condujer,a,condujer,amos,condujer,ais,condujer,an
valer,가치 있다,false,valiendo,valido,pres,val,go,val,es,val,e,val,emos,val,éis,val,en
valer,가치 있다,false,valiendo,valido,perf,he ,valido,has ,valido,ha ,valido,hemos ,valido,habéis ,valido,han ,valido
valer,가치 있다,false,valiendo,valido,indef,val,í,val,iste,val,ió,val,imos,val,isteis,val,ieron
valer,가치 있다,false,valiendo,valido,imperf,val,ía,val,ías,val,ía,val,íamos,val,íais,val,ían
valer,가치 있다,false,valiendo,valido,fut,valdr,é,valdr,ás,valdr,á,valdr,emos,valdr,éis,valdr,án
valer,가치 있다,false,valiendo,valido,cond,valdr,ía,valdr,ías,valdr,ía,valdr,íamos,valdr,íais,valdr,ían
valer,가치 있다,false,valiendo,valido,subj_pres,valg,a,valg,as,valg,a,valg,amos,valg,áis,valg,an
valer,가치 있다,false,valiendo,valido,subj_imp,valier,a,valier,as,valier,a,valier,amos,valier,ais,valier,an
haber,조동사,false,habiendo,habido,pres,he,,has,,hay,,hemos,,habéis,,han,
haber,조동사,false,habiendo,habido,perf,he ,habido,has ,habido,ha ,habido,hemos ,habido,habéis ,habido,han ,habido
haber,조동사,false,habiendo,habido,indef,hub,e,hub,iste,hub,o,hub,imos,hub,isteis,hub,ieron
haber,조동사,false,habiendo,habido,imperf,hab,ía,hab,ías,hab,ía,hab,íamos,hab,íais,hab,ían
haber,조동사,false,habiendo,habido,fut,habr,é,habr,ás,habr,á,habr,emos,habr,éis,habr,án
haber,조동사,false,habiendo,habido,cond,habr,ía,habr,ías,habr,ía,habr,íamos,habr,íais,habr,ían
haber,조동사,false,habiendo,habido,subj_pres,hay,a,hay,as,hay,a,hay,amos,hay,áis,hay,an
haber,조동사,false,habiendo,habido,subj_imp,hubier,a,hubier,as,hubier,a,hubier,amos,hubier,ais,hubier,an
reír,웃다,false,riendo,reido,pres,rí,o,rí,es,rí,e,re,ímos,re,ís,rí,en
reír,웃다,false,riendo,reido,perf,he ,reído,has ,reído,ha ,reído,hemos ,reído,habéis ,reído,han ,reído
reír,웃다,false,riendo,reido,indef,re,í,re,iste,ri,ó,re,ímos,re,ísteis,ri,eron
reír,웃다,false,riendo,reido,imperf,re,ía,re,ías,re,ía,re,íamos,re,íais,re,ían
reír,웃다,false,riendo,reido,fut,reir,é,reir,ás,reir,á,reir,emos,reir,éis,reir,án
reír,웃다,false,riendo,reido,cond,reir,ía,reir,ías,reir,ía,reir,íamos,reir,íais,reir,ían
reír,웃다,false,riendo,reido,subj_pres,rí,a,rí,as,rí,a,ri,amos,ri,áis,rí,an
reír,웃다,false,riendo,reido,subj_imp,rier,a,rier,as,rier,a,rier,amos,rier,ais,rier,an
seguir,계속하다,false,siguiendo,seguido,pres,sig,o,sigu,es,sigu,e,segu,imos,segu,ís,sigu,en
seguir,계속하다,false,siguiendo,seguido,perf,he ,seguido,has ,seguido,ha ,seguido,hemos ,seguido,habéis ,seguido,han ,seguido
seguir,계속하다,false,siguiendo,seguido,indef,segu,í,segu,iste,sigu,ió,segu,imos,segu,isteis,sigu,ieron
seguir,계속하다,false,siguiendo,seguido,imperf,segu,ía,segu,ías,segu,ía,segu,íamos,segu,íais,segu,ían
seguir,계속하다,false,siguiendo,seguido,fut,seguir,é,seguir,ás,seguir,á,seguir,emos,seguir,éis,seguir,án
seguir,계속하다,false,siguiendo,seguido,cond,seguir,ía,seguir,ías,seguir,ía,seguir,íamos,seguir,íais,seguir,ían
seguir,계속하다,false,siguiendo,seguido,subj_pres,sig,a,sig,as,sig,a,sig,amos,sig,áis,sig,an
seguir,계속하다,false,siguiendo,seguido,subj_imp,siguier,a,siguier,as,siguier,a,siguier,amos,siguier,ais,siguier,an
morir,죽다,false,muriendo,muerto,pres,muer,o,muer,es,muer,e,mor,imos,mor,ís,muer,en
morir,죽다,false,muriendo,muerto,perf,he ,muerto,has ,muerto,ha ,muerto,hemos ,muerto,habéis ,muerto,han ,muerto
morir,죽다,false,muriendo,muerto,indef,mor,í,mor,iste,mur,ió,mor,imos,mor,isteis,mur,ieron
morir,죽다,false,muriendo,muerto,imperf,mor,ía,mor,ías,mor,ía,mor,íamos,mor,íais,mor,ían
morir,죽다,false,muriendo,muerto,fut,morir,é,morir,ás,morir,á,morir,emos,morir,éis,morir,án
morir,죽다,false,muriendo,muerto,cond,morir,ía,morir,ías,morir,ía,morir,íamos,morir,íais,morir,ían
morir,죽다,false,muriendo,muerto,subj_pres,muer,a,muer,as,muer,a,mur,amos,mur,áis,muer,an
morir,죽다,false,muriendo,muerto,subj_imp,murier,a,murier,as,murier,a,murier,amos,murier,ais,murier,an
encontrar,찾다,false,encontrando,encontrado,pres,encuentr,o,encuentr,as,encuentr,a,encontr,amos,encontr,áis,encuentr,an
encontrar,찾다,false,encontrando,encontrado,perf,he ,encontrado,has ,encontrado,ha ,encontrado,hemos ,encontrado,habéis ,encontrado,han ,encontrado
encontrar,찾다,false,encontrando,encontrado,indef,encontr,é,encontr,aste,encontr,ó,encontr,amos,encontr,asteis,encontr,aron
encontrar,찾다,false,encontrando,encontrado,imperf,encontr,aba,encontr,abas,encontr,aba,encontr,ábamos,encontr,abais,encontr,aban
encontrar,찾다,false,encontrando,encontrado,fut,encontrar,é,encontrar,ás,encontrar,á,encontrar,emos,encontrar,éis,encontrar,án
encontrar,찾다,false,encontrando,encontrado,cond,encontrar,ía,encontrar,ías,encontrar,ía,encontrar,íamos,encontrar,íais,encontrar,ían
encontrar,찾다,false,encontrando,encontrado,subj_pres,encuentr,e,encuentr,es,encuentr,e,encontr,emos,encontr,éis,encuentr,en
encontrar,찾다,false,encontrando,encontrado,subj_imp,encontrar,a,encontrar,as,encontrar,a,encontrar,amos,encontrar,ais,encontrar,an
perder,잃다,false,perdiendo,perdido,pres,pierd,o,pierd,es,pierd,e,perd,emos,perd,éis,pierd,en
perder,잃다,false,perdiendo,perdido,perf,he ,perdido,has ,perdido,ha ,perdido,hemos ,perdido,habéis ,perdido,han ,perdido
perder,잃다,false,perdiendo,perdido,indef,perd,í,perd,iste,perd,ió,perd,imos,perd,isteis,perd,ieron
perder,잃다,false,perdiendo,perdido,imperf,perd,ía,perd,ías,perd,ía,perd,íamos,perd,íais,perd,ían
perder,잃다,false,perdiendo,perdido,fut,perder,é,perder,ás,perder,á,perder,emos,perder,éis,perder,án
perder,잃다,false,perdiendo,perdido,cond,perder,ía,perder,ías,perder,ía,perder,íamos,perder,íais,perder,ían
perder,잃다,false,perdiendo,perdido,subj_pres,pierd,a,pierd,as,pierd,a,perd,amos,perd,áis,pierd,an
perder,잃다,false,perdiendo,perdido,subj_imp,perder,a,perder,as,perder,a,perder,amos,perder,ais,perder,an
cerrar,닫다,false,cerrando,cerrado,pres,cierr,o,cierr,as,cierr,a,cerr,amos,cerr,áis,cierr,an
cerrar,닫다,false,cerrando,cerrado,perf,he ,cerrado,has ,cerrado,ha ,cerrado,hemos ,cerrado,habéis ,cerrado,han ,cerrado
cerrar,닫다,false,cerrando,cerrado,indef,cerr,é,cerr,aste,cerr,ó,cerr,amos,cerr,asteis,cerr,aron
cerrar,닫다,false,cerrando,cerrado,imperf,cerr,aba,cerr,abas,cerr,aba,cerr,ábamos,cerr,abais,cerr,aban
cerrar,닫다,false,cerrando,cerrado,fut,cerrar,é,cerrar,ás,cerrar,á,cerrar,emos,cerrar,éis,cerrar,án
cerrar,닫다,false,cerrando,cerrado,cond,cerrar,ía,cerrar,ías,cerrar,ía,cerrar,íamos,cerrar,íais,cerrar,ían
cerrar,닫다,false,cerrando,cerrado,subj_pres,cierr,e,cierr,es,cierr,e,cerr,emos,cerr,éis,cierr,en
cerrar,닫다,false,cerrando,cerrado,subj_imp,cerrar,a,cerrar,as,cerrar,a,cerrar,amos,cerrar,ais,cerrar,an
gustar,좋아하다,true,gustando,gustado,pres,gust,o,gust,as,gust,a,gust,amos,gust,áis,gust,an
gustar,좋아하다,true,gustando,gustado,perf,he ,gustado,has ,gustado,ha ,gustado,hemos ,gustado,habéis ,gustado,han ,gustado
gustar,좋아하다,true,gustando,gustado,indef,gust,é,gust,aste,gust,ó,gust,amos,gust,asteis,gust,aron
gustar,좋아하다,true,gustando,gustado,imperf,gust,aba,gust,abas,gust,aba,gust,ábamos,gust,abais,gust,aban
gustar,좋아하다,true,gustando,gustado,fut,gustar,é,gustar,ás,gustar,á,gustar,emos,gustar,éis,gustar,án
gustar,좋아하다,true,gustando,gustado,cond,gustar,ía,gustar,ías,gustar,ía,gustar,íamos,gustar,íais,gustar,ían
gustar,좋아하다,true,gustando,gustado,subj_pres,gust,e,gust,es,gust,e,gust,emos,gust,éis,gust,en
gustar,좋아하다,true,gustando,gustado,subj_imp,gust,ara,gust,aras,gust,ara,gust,áramos,gust,arais,gust,aran
parecer,보이다,false,pareciendo,parecido,pres,parezc,o,parec,es,parec,e,parec,emos,parec,éis,parec,en
parecer,보이다,false,pareciendo,parecido,perf,he ,parecido,has ,parecido,ha ,parecido,hemos ,parecido,habéis ,parecido,han ,parecido
parecer,보이다,false,pareciendo,parecido,indef,parec,í,parec,iste,parec,ió,parec,imos,parec,isteis,parec,ieron
parecer,보이다,false,pareciendo,parecido,imperf,parec,ía,parec,ías,parec,ía,parec,íamos,parec,íais,parec,ían
parecer,보이다,false,pareciendo,parecido,fut,parecer,é,parecer,ás,parecer,á,parecer,emos,parecer,éis,parecer,án
parecer,보이다,false,pareciendo,parecido,cond,parecer,ía,parecer,ías,parecer,ía,parecer,íamos,parecer,íais,parecer,ían
parecer,보이다,false,pareciendo,parecido,subj_pres,parezc,a,parezc,as,parezc,a,parezc,amos,parezc,áis,parezc,an
parecer,보이다,false,pareciendo,parecido,subj_imp,parec,iera,parec,ieras,parec,iera,parec,iéramos,parec,ierais,parec,ieran
sentir,느끼다,false,sintiendo,sentido,pres,sient,o,sient,es,sient,e,sent,imos,sent,ís,sient,en
sentir,느끼다,false,sintiendo,sentido,perf,he ,sentido,has ,sentido,ha ,sentido,hemos ,sentido,habéis ,sentido,han ,sentido
sentir,느끼다,false,sintiendo,sentido,indef,sent,í,sent,iste,sint,ió,sent,imos,sent,isteis,sint,ieron
sentir,느끼다,false,sintiendo,sentido,imperf,sent,ía,sent,ías,sent,ía,sent,íamos,sent,íais,sent,ían
sentir,느끼다,false,sintiendo,sentido,fut,sentir,é,sentir,ás,sentir,á,sentir,emos,sentir,éis,sentir,án
sentir,느끼다,false,sintiendo,sentido,cond,sentir,ía,sentir,ías,sentir,ía,sentir,íamos,sentir,íais,sentir,ían
sentir,느끼다,false,sintiendo,sentido,subj_pres,sient,a,sient,as,sient,a,sint,amos,sint,áis,sient,an
sentir,느끼다,false,sintiendo,sentido,subj_imp,sint,iera,sint,ieras,sint,iera,sint,iéramos,sint,ierais,sint,ieran
jugar,놀다,false,jugando,jugado,pres,jueg,o,jueg,as,jueg,a,jug,amos,jug,áis,jueg,an
jugar,놀다,false,jugando,jugado,perf,he ,jugado,has ,jugado,ha ,jugado,hemos ,jugado,habéis ,jugado,han ,jugado
jugar,놀다,false,jugando,jugado,indef,jugu,é,jug,aste,jug,ó,jug,amos,jug,asteis,jug,aron
jugar,놀다,false,jugando,jugado,imperf,jug,aba,jug,abas,jug,aba,jug,ábamos,jug,abais,jug,aban
jugar,놀다,false,jugando,jugado,fut,jugar,é,jugar,ás,jugar,á,jugar,emos,jugar,éis,jugar,án
jugar,놀다,false,jugando,jugado,cond,jugar,ía,jugar,ías,jugar,ía,jugar,íamos,jugar,íais,jugar,ían
jugar,놀다,false,jugando,jugado,subj_pres,juegu,e,juegu,es,juegu,e,jugu,emos,jugu,éis,juegu,en
jugar,놀다,false,jugando,jugado,subj_imp,jug,ara,jug,aras,jug,ara,jug,áramos,jug,arais,jug,aran
volver,돌아가다,false,volviendo,vuelto,pres,vuelv,o,vuelv,es,vuelv,e,volv,emos,volv,éis,vuelv,en
volver,돌아가다,false,volviendo,vuelto,perf,he ,vuelto,has ,vuelto,ha ,vuelto,hemos ,vuelto,habéis ,vuelto,han ,vuelto
volver,돌아가다,false,volviendo,vuelto,indef,volv,í,volv,iste,volv,ió,volv,imos,volv,isteis,volv,ieron
volver,돌아가다,false,volviendo,vuelto,imperf,volv,ía,volv,ías,volv,ía,volv,íamos,volv,íais,volv,ían
volver,돌아가다,false,volviendo,vuelto,fut,volver,é,volver,ás,volver,á,volver,emos,volver,éis,volver,án
volver,돌아가다,false,volviendo,vuelto,cond,volver,ía,volver,ías,volver,ía,volver,íamos,volver,íais,volver,ían
volver,돌아가다,false,volviendo,vuelto,subj_pres,vuelv,a,vuelv,as,vuelv,a,volv,amos,volv,áis,vuelv,an
